Year,Quarter,Segment,Region,Subscribers,Revenue_QR_Mn,ARPU_QR,Data_Usage_GB,Voice_Minutes_Mn,Customer_Satisfaction_Index,Churn_Rate_Pct,Complaints_Resolved_Pct,New_Activations,Deactivations,Avg_Resolution_Time_Hours,eSIM_Activations,Recharge_Transactions_Thousand,Retail_Store_Visits_Thousand,Digital_Sales_Pct,Network_Availability_Pct
2021,Q1,Mobile Prepaid,Doha,97395,156.73,107.32,267.61,58.68,88.43,2.97,96.83,28040,8945,5.93,5547,643,191,57.32,99.9592
2021,Q1,Mobile Prepaid,Al Rayyan,89275,153.53,105.4,237.73,54.14,73.78,2.62,97.82,22963,8824,2.95,5100,630,99,47.72,99.9788
2021,Q1,Mobile Prepaid,Al Wakrah,91988,141.49,95.58,253.29,65.39,76.81,2.64,97.62,24531,9482,3.67,4085,477,168,67.67,99.9654
2021,Q1,Mobile Prepaid,Umm Salal,97818,156.99,112.07,223.37,53.29,77.42,2.4,95.39,27340,13421,5.07,4826,553,245,65.6,99.9125
2021,Q1,Mobile Prepaid,Al Khor,97013,144.57,107.08,244.33,58.21,74.29,2.6,96.23,28976,10536,4.96,3859,497,247,52.15,99.9073
2021,Q1,Mobile Postpaid,Doha,110577,135.78,98.09,271.08,50.62,84.78,2.25,96.44,25501,10135,3.68,4732,522,198,71.7,99.9727
2021,Q1,Mobile Postpaid,Al Rayyan,105331,136.43,108.83,238.63,66.94,80.35,2.43,96.93,30533,11955,3.98,6121,593,149,50.79,99.9367
2021,Q1,Mobile Postpaid,Al Wakrah,94178,128.48,108.51,254.24,54.88,75.55,2.88,95.64,30179,8097,6.01,6277,844,159,58.38,99.9587
2021,Q1,Mobile Postpaid,Umm Salal,90376,144.59,101.18,299.09,50.83,74.63,2.43,98.73,33637,10818,4.82,3445,763,223,61.34,99.9303
2021,Q1,Mobile Postpaid,Al Khor,101898,187.46,110.61,263.38,48.75,81.68,2.58,98.4,27911,8890,6.13,4573,527,260,40.88,99.9384
2021,Q1,Fixed Broadband,Doha,99206,164.21,107.88,268.17,61.21,79.51,2.72,98.54,36572,8510,5.06,5396,666,237,55.75,99.9311
2021,Q1,Fixed Broadband,Al Rayyan,101163,179.35,103.16,324.82,60.85,87.69,3.16,98.05,28451,12045,4.68,5494,719,169,76.11,99.938
2021,Q1,Fixed Broadband,Al Wakrah,102274,166.36,104.94,262.57,62.7,85.05,2.69,98.19,38693,9831,6.01,5846,501,286,61.0,99.9486
2021,Q1,Fixed Broadband,Umm Salal,106633,165.8,100.75,251.26,61.71,74.68,3.1,99.59,20698,7404,4.76,5644,547,266,38.14,99.9742
2021,Q1,Fixed Broadband,Al Khor,102619,155.23,102.18,218.62,65.71,84.85,2.17,97.49,24002,7873,5.06,4201,737,242,49.85,99.9435
2021,Q1,Managed Services,Doha,100013,160.88,102.41,262.29,55.42,91.78,2.74,97.06,34691,10126,6.6,4641,784,75,73.95,99.9572
2021,Q1,Managed Services,Al Rayyan,106521,135.66,102.46,249.91,66.32,82.59,2.43,98.94,29746,12767,4.93,5050,614,309,61.69,99.9507
2021,Q1,Managed Services,Al Wakrah,100885,120.51,109.16,202.66,63.6,76.0,1.68,97.71,27208,9664,5.72,2672,737,225,52.06,99.9529
2021,Q1,Managed Services,Umm Salal,80696,164.66,103.57,229.22,51.99,75.6,2.33,97.59,21429,9987,3.46,2961,718,192,55.04,99.9673
2021,Q1,Managed Services,Al Khor,104577,139.21,109.69,232.08,51.16,73.89,2.13,95.6,33510,10423,7.08,2579,593,234,67.8,99.9263
2021,Q1,IoT,Doha,87477,166.36,92.39,243.22,57.26,69.78,2.04,95.14,25546,10808,4.98,4281,489,252,59.94,99.9407
2021,Q1,IoT,Al Rayyan,92280,103.73,100.75,272.92,45.09,83.46,2.42,94.79,23043,12779,5.26,4435,520,261,61.39,99.972
2021,Q1,IoT,Al Wakrah,96100,154.97,102.08,276.37,53.69,78.64,2.09,98.19,28535,7729,5.01,4731,596,126,59.8,99.9869
2021,Q1,IoT,Umm Salal,106978,155.11,109.56,216.87,70.43,79.25,2.91,97.49,36308,8592,4.48,6422,676,138,77.14,99.9516
2021,Q1,IoT,Al Khor,97729,154.34,106.0,256.04,67.02,68.33,2.45,96.72,28241,10814,3.36,4743,563,176,65.96,99.9262
2021,Q1,Devices,Doha,93556,170.24,103.01,272.68,49.06,85.38,3.16,94.52,25913,6316,5.1,6554,525,191,56.25,99.955
2021,Q1,Devices,Al Rayyan,105740,125.73,108.39,281.71,69.99,76.66,2.89,94.66,29658,11038,5.58,4907,519,168,73.64,99.9458
2021,Q1,Devices,Al Wakrah,100813,141.9,103.11,218.78,62.44,77.39,3.2,95.42,32528,14318,2.76,5083,657,233,51.81,99.9587
2021,Q1,Devices,Umm Salal,105597,162.41,102.86,260.29,51.02,90.9,2.46,99.99,29847,12092,3.48,4813,655,247,58.16,99.9441
2021,Q1,Devices,Al Khor,105525,132.13,106.05,227.08,62.82,82.24,2.69,97.51,31225,10396,3.74,6496,773,206,48.46,99.8886
2021,Q2,Mobile Prepaid,Doha,86611,183.85,100.73,249.84,64.22,81.08,3.22,94.41,36907,9939,5.34,6297,656,270,67.54,99.9552
2021,Q2,Mobile Prepaid,Al Rayyan,98059,114.86,98.38,250.31,71.37,84.27,3.02,96.79,24049,6902,4.46,3476,491,207,62.91,99.9287
2021,Q2,Mobile Prepaid,Al Wakrah,115187,167.62,110.21,246.56,70.45,89.92,2.36,96.93,32071,10856,7.33,6685,542,234,66.72,99.9462
2021,Q2,Mobile Prepaid,Umm Salal,92830,158.79,105.62,271.42,50.1,84.67,2.33,96.06,32533,10066,5.3,5305,637,266,52.83,99.9698
2021,Q2,Mobile Prepaid,Al Khor,104249,133.68,101.52,257.35,57.89,89.31,2.77,98.23,32088,5968,2.93,4832,671,186,66.55,99.9636
2021,Q2,Mobile Postpaid,Doha,88616,162.96,106.71,278.15,61.08,79.23,2.57,97.72,35476,10811,6.31,6113,618,162,55.27,99.9059
2021,Q2,Mobile Postpaid,Al Rayyan,90833,178.75,111.92,264.98,72.6,78.86,3.4,102.86,31047,16129,3.18,5657,785,164,57.97,99.9437
2021,Q2,Mobile Postpaid,Al Wakrah,96478,166.59,100.46,258.92,57.84,78.09,2.7,96.61,41051,10517,3.65,4321,664,206,64.94,99.9172
2021,Q2,Mobile Postpaid,Umm Salal,92297,160.49,107.1,216.91,55.67,71.49,2.71,97.51,34301,8211,5.09,4862,401,209,62.79,99.9192
2021,Q2,Mobile Postpaid,Al Khor,103613,132.51,107.27,271.57,38.11,84.69,2.59,95.7,36506,10612,2.87,4282,455,224,69.6,99.9433
